[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46348865743474366] (((0.8861353309014783) + (((-1.6458250009595218e-2) * (np.sin((x[:,0])**(2)))) + (((6.332600306347992e-2) * (((x[:,0])**(2)))) + (((0.19278042601856027) * (((x[:,1])**(1)))) + (((-0.22887016058601684) * (np.sin((x[:,1])**(1)))) + (((0.11425323686926497) * (((x[:,1])**(2)))) + (((-4.456429153673723e-2) * (np.exp((x[:,1])**(1)))) + (((-9.094569493037347e-8) * (np.exp((x[:,0])**(2)))) + (((-4.469350791856484e-2) * (np.sin((x[:,1])**(2)))) + ((-1.4255734524931219e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1295600261760224e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239720276] (((0.8818929717303291) + (((6.370986545053385e-2) * (((x[:,0])**(2)))) + (((0.194208894570502) * (((x[:,1])**(1)))) + (((-0.11537770761900569) * (np.sin((x[:,1])**(1)))) + (((-0.11537770761900532) * (np.sin((x[:,1])**(1)))) + (((0.11457183824721884) * (((x[:,1])**(2)))) + (((-4.49699253922905e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783615741237e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517793975426e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524350442278e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600909183e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239722514] (((0.881892971727791) + (((6.370986544854931e-2) * (((x[:,0])**(2)))) + (((0.19420889461564012) * (((x[:,1])**(1)))) + (((-0.23075541529319515) * (np.sin((x[:,1])**(1)))) + (((0.1145718382609551) * (((x[:,1])**(2)))) + (((-4.496992540290337e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783613685906e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517794002876e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524362275527e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((3.124080660089182e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4645501523966292] (((0.8818929717110292) + (((6.370986545161472e-2) * (((x[:,0])**(2)))) + (((9.710444737895235e-2) * (((x[:,1])**(1)))) + (((-0.23075541525315457) * (np.sin((x[:,1])**(1)))) + (((9.710444720360364e-2) * (((x[:,1])**(1)))) + (((0.11457183825251478) * (((x[:,1])**(2)))) + (((-4.4969925395058064e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783617202324e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779390548e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524350150972e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600843236e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4651054871638233] (((0.8855365426783942) + (((6.352417999592078e-2) * (((x[:,0])**(2)))) + (((0.10279834796178286) * (((x[:,1])**(1)))) + (((0.10279834796178719) * (((x[:,1])**(1)))) + (((-0.24466378754744234) * (np.sin((x[:,1])**(1)))) + (((0.11684100130387297) * (((x[:,1])**(2)))) + (((-4.763957527849576e-2) * (np.exp((x[:,1])**(1)))) + (((-9.234828754458202e-8) * (np.exp((x[:,0])**(2)))) + ((-4.3933391714625736e-2) * (np.sin((x[:,1])**(2)))))))))))) / ((1.0) + ((3.2020418930949916e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46348865743474366] (((0.8861353309014783) + (((-1.6458250009595218e-2) * (np.sin((x[:,0])**(2)))) + (((6.332600306347992e-2) * (((x[:,0])**(2)))) + (((0.19278042601856027) * (((x[:,1])**(1)))) + (((-0.22887016058601684) * (np.sin((x[:,1])**(1)))) + (((0.11425323686926497) * (((x[:,1])**(2)))) + (((-4.456429153673723e-2) * (np.exp((x[:,1])**(1)))) + (((-9.094569493037347e-8) * (np.exp((x[:,0])**(2)))) + (((-4.469350791856484e-2) * (np.sin((x[:,1])**(2)))) + ((-1.4255734524931219e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1295600261760224e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.5477972597011038] (((0.9612142100232084) + (((6.610866822365022e-2) * (((x[:,0])**(2)))) + (((-0.1506842620666087) * (((x[:,1])**(1)))) + (((9.957558008193232e-2) * (np.sin((x[:,1])**(1)))) + (((9.957558008193568e-2) * (np.sin((x[:,1])**(1)))) + (((-4.493865501321118e-8) * (np.exp((x[:,1])**(2)))) + (((3.548259094918228e-2) * (np.exp((x[:,1])**(1)))) + (((-9.394051018124634e-8) * (np.exp((x[:,0])**(2)))) + (((-0.10662412863655477) * (np.sin((x[:,1])**(2)))) + ((-4.495836425092898e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1408178297236335e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.4645501523966292] (((0.8818929717110292) + (((6.370986545161472e-2) * (((x[:,0])**(2)))) + (((9.710444737895235e-2) * (((x[:,1])**(1)))) + (((-0.23075541525315457) * (np.sin((x[:,1])**(1)))) + (((9.710444720360364e-2) * (((x[:,1])**(1)))) + (((0.11457183825251478) * (((x[:,1])**(2)))) + (((-4.4969925395058064e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783617202324e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779390548e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524350150972e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.1240806600843236e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239722514] (((0.881892971727791) + (((6.370986544854931e-2) * (((x[:,0])**(2)))) + (((0.19420889461564012) * (((x[:,1])**(1)))) + (((-0.23075541529319515) * (np.sin((x[:,1])**(1)))) + (((0.1145718382609551) * (((x[:,1])**(2)))) + (((-4.496992540290337e-2) * (np.exp((x[:,1])**(1)))) + (((-9.287783613685906e-8) * (np.exp((x[:,0])**(2)))) + (((-4.3982517794002876e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524362275527e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((3.124080660089182e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.5477972596885312] (((0.9612142100588787) + (((6.610866821648903e-2) * (((x[:,0])**(2)))) + (((-0.15068426206929225) * (((x[:,1])**(1)))) + (((9.95755800830058e-2) * (np.sin((x[:,1])**(1)))) + (((9.957558008301085e-2) * (np.sin((x[:,1])**(1)))) + (((3.5482590949654655e-2) * (np.exp((x[:,1])**(1)))) + (((-9.394050976515715e-8) * (np.exp((x[:,0])**(2)))) + (((-0.10662412863780293) * (np.sin((x[:,1])**(2)))) + ((-8.989701947142976e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((3.140817829737245e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.48594626380997075] (((0.8923162267288745) + (((6.382046541326702e-2) * (((x[:,0])**(2)))) + (((-2.7104803260072e-3) * (((x[:,0])**(1)))) + (((1.068285364897753e-2) * (np.sin((x[:,1])**(1)))) + (((3.0337274406059943e-2) * (((x[:,1])**(2)))) + (((3.033727440605969e-2) * (((x[:,1])**(2)))) + (((-1.5326499601498779e-3) * (np.exp((x[:,1])**(1)))) + (((-8.93128759600349e-8) * (np.exp((x[:,0])**(2)))) + (((-6.943154515128414e-2) * (np.sin((x[:,1])**(2)))) + ((-7.363634109216739e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((2.8379078263037563e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.46455015239555625] (((0.8818929717186957) + (((6.370986544885245e-2) * (((x[:,0])**(2)))) + (((0.19420889458096333) * (((x[:,1])**(1)))) + (((-0.23075541525014834) * (np.sin((x[:,1])**(1)))) + (((5.728591912626975e-2) * (((x[:,1])**(2)))) + (((5.728591912626138e-2) * (((x[:,1])**(2)))) + (((-4.496992539484314e-2) * (np.exp((x[:,1])**(1)))) + (((-9.28778361409242e-8) * (np.exp((x[:,0])**(2)))) + (((-4.398251779381725e-2) * (np.sin((x[:,1])**(2)))) + ((-1.2889524345356673e-8) * (np.exp((x[:,1])**(2))))))))))))) / ((1.0) + ((3.124080660099663e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
[0.6599674414961665] (((1.1581252805943258) + (((0.12488164450250053) * (((x[:,1])**(2)))) + (((9.815894165298378e-2) * (((x[:,1])**(1)))) + (((9.815894165064423e-2) * (((x[:,1])**(1)))) + (((-0.2154299216909827) * (np.sin((x[:,1])**(1)))) + (((-4.808699436150447e-2) * (np.exp((x[:,1])**(1)))) + (((6.761377341168988e-8) * (np.exp((x[:,0])**(2)))) + (((-2.919125660884051e-2) * (np.sin((x[:,1])**(2)))) + ((1.4193748525527173e-8) * (np.exp((x[:,1])**(2)))))))))))) / ((1.0) + ((2.813451652984165e-2) * (np.sin(((x[:,1])**(2)) * ((x[:,0])**(2)))))))
