0.18100576651946637,  ((-2.0355476609317207) + (((2.2259157719520855e13) * (((x[:,0])**(2)))) + (((2.0641662261219205) * (np.exp((x[:,0])**(1)))) + (((-4.461253447838573) * (((x[:,0])**(1)))) + (((3.4129180339996066) * (np.sin((x[:,0])**(1)))) + (((-2.225915771952212e13) * (((x[:,0])**(2)))) + ((0.10548993341253501) * (np.sin((x[:,0])**(2))))))))))
0.18199835142431608,  ((-0.3704438052506619) + (((-0.4226823597390113) * (((x[:,0])**(1)))) + (((0.46990558703394003) * (np.exp((x[:,0])**(1)))) + (((-0.28955792953243287) * (np.sin((x[:,0])**(2)))) + (((-0.42268235973901186) * (((x[:,0])**(1)))) + (((1.3529915140926165) * (np.sin((x[:,0])**(1)))) + (((-2.510439969037283e-2) * (np.exp((x[:,0])**(2)))) + ((-2.510439969037287e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18215275486327717,  ((3.803718200959155e-2) + (((5.1785715077011865e-3) * (((x[:,0])**(2)))) + (((2.1643404814720674e-3) * (np.exp((x[:,0])**(2)))) + (((-9.589033994642877e-2) * (np.sin((x[:,0])**(2)))) + (((0.2318961478791374) * (((x[:,0])**(1)))) + (((0.7330679145633303) * (np.sin((x[:,0])**(1)))) + (((2.1643404814717317e-3) * (np.exp((x[:,0])**(2)))) + ((2.1643404814717317e-3) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.1824601872962891,  ((0.5987297406623768) + (((0.4140295855200581) * (((x[:,0])**(2)))) + (((-0.5509915436772631) * (np.exp((x[:,0])**(1)))) + (((-0.20429163795387925) * (np.sin((x[:,0])**(2)))) + (((1.4985454978343054) * (((x[:,0])**(1)))) + (((-2.092596437294307e-3) * (np.exp((x[:,0])**(2)))) + ((-2.092596437294307e-3) * (np.exp((x[:,0])**(2))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
0.18135892326547168,  ((-2.30843143617323) + (((-1.7292381492135471) * (((x[:,0])**(2)))) + (((2.3006311006911453) * (np.exp((x[:,0])**(1)))) + (((0.3771232573983828) * (np.sin((x[:,0])**(2)))) + (((-5.00937774706665) * (((x[:,0])**(1)))) + (((3.7326571744724886) * (np.sin((x[:,0])**(1)))) + (((2.8316921821010546e-2) * (np.exp((x[:,0])**(2)))) + ((2.8316921821010917e-2) * (np.exp((x[:,0])**(2)))))))))))
